ZONA;CIUDAD;AGENCIA;TIPO
ZONA 1;AMBATO;AMBATO;AGENCIA
ZONA 1;AMBATO;MULTIPLAZA AKI;AGENCIA
ZONA 1;ESMERALDAS;ESMERALDAS;AGENCIA
ZONA 1;IBARRA;IBARRA;AGENCIA
ZONA 1;LATACUNGA;LATACUNGA;AGENCIA
ZONA 2;QUEVEDO;QUEVEDO;AGENCIA
ZONA 1;QUITO;ATAHUALPA;AGENCIA
ZONA 1;QUITO;CENTRUM EL BOSQUE;AGENCIA
ZONA 1;QUITO;CALDERON;AGENCIA
ZONA 1;QUITO;CARAPUNGO;AGENCIA
ZONA 1;QUITO;CARCELEN;AGENCIA
ZONA 1;CAYAMBE;CAYAMBE;AGENCIA
ZONA 1;QUITO;CHILLOGALLO;AGENCIA
ZONA 1;QUITO;CUMBAYA;AGENCIA
ZONA 1;QUITO;FUNDACION VISTA PARA TODOS;EXPRESS
ZONA 1;QUITO;GUAMANI;AGENCIA
ZONA 1;QUITO;LA COMPAÑIA;AGENCIA
ZONA 1;QUITO;LABRADOR;AGENCIA
ZONA 1;QUITO;MALDONADO;AGENCIA
ZONA 1;QUITO;MOLINEROS;AGENCIA
ZONA 1;QUITO;PANAMERICANA;AGENCIA
ZONA 1;QUITO;PATRIA;AGENCIA
ZONA 1;QUITO;PLAZA ALEGRIA;AGENCIA
ZONA 1;QUITO;PRENSA;AGENCIA
ZONA 1;QUITO;REINA VICTORIA;AGENCIA
ZONA 1;QUITO;AXXIS;EXPRESS
ZONA 1;QUITO;SANGOLQUI;AGENCIA
ZONA 1;QUITO;SOLANDA;AGENCIA
ZONA 1;QUITO;TUMBACO;AGENCIA
ZONA 1;RIOBAMBA;RIOBAMBA;AGENCIA
ZONA 1;SANTO DOMINGO;SANTO DOMINGO;AGENCIA
ZONA 1;SANTO DOMINGO;SERVIP EXPRESS AKI SANTO DOMINGO;EXPRESS
ZONA 2;CUENCA;CUENCA;AGENCIA
ZONA 2;CUENCA;TOTORACOCHA EXPRESS;EXPRESS
ZONA 2;GUAYAQUIL;25 DE JULIO;AGENCIA
ZONA 2;GUAYAQUIL;EL FORTIN;AGENCIA
ZONA 2;GUAYAQUIL;GRAN AKI DURÁN;AGENCIA
ZONA 2;GUAYAQUIL;LA LIBERTAD;AGENCIA
ZONA 2;GUAYAQUIL;LOS RIOS;AGENCIA
ZONA 2;GUAYAQUIL;POLICENTRO;AGENCIA
ZONA 2;GUAYAQUIL;SAN EDUARDO;AGENCIA
ZONA 2;GUAYAQUIL;SAN FRANCISCO;AGENCIA
ZONA 2;GUAYAQUIL;SUPER AKI SAUCES;EXPRESS
ZONA 2;LOJA;LOJA;AGENCIA
ZONA 2;MACHALA;MACHALA;AGENCIA
ZONA 2;MANTA;SERVIP EXPRESS JAPON MANTA;AGENCIA
ZONA 1;QUITO;PORTAL SHOPPING;AGENCIA
ZONA 1;QUITO;MULTIPLAZA LOS CHILLOS;AGENCIA
ZONA 1;QUITO;QUITUMBE;AGENCIA
ZONA 1;QUITO;PUERTAS DEL SOL;AGENCIA
ZONA 1;QUITO;SERVP EXPRESS UNIVERSIDAD CENTRAL;AGENCIA
